cgl_id,Entry,Entry name,Protein names,Gene names,Organism,Cross-reference (RefSeq)
Cgl0594,Q8NSS4,TSAD_CORGL,tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD),tsaD gcp Cgl0594 cg0687,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599830.1;WP_011013752.1;
Cgl0595,Q8NSS3,NNR_CORGL,Bifunctional NAD(P)H-hydrate repair enzyme Nnr (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase)],nnr Cgl0595 cg0688,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599831.1;WP_011013753.1;
Cgl0597,Q8NSS1,CH10_CORGL,10 kDa chaperonin (GroES protein) (Protein Cpn10),groS groES Cgl0597 cg0690,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599833.2;WP_003854559.1;
Cgl0598,Q8NSS0,CH601_CORGL,60 kDa chaperonin 1 (GroEL protein 1) (Protein Cpn60 1),groL1 groEL1 Cgl0598 cg0693,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599834.1;WP_011013754.1;
Cgl0599,Q8NSR9,Q8NSR9_CORGL,Transcriptional regulator WhiB,whiB Cgl0599,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599835.1;WP_003854562.1;
Cgl0603,Q8NSR5,Q8NSR5_CORGL,Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205),guaB Cgl0603,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599839.1;WP_011013757.1;
Cgl0604,Q8NSR4,Q8NSR4_CORGL,IMP dehydrogenase/GMP reductase,Cgl0604,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599840.1;WP_011013758.1;
Cgl0607,Q8NSR1,GUAA_CORGL,GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase),guaA Cgl0607 cg0703,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599843.1;WP_011013761.1;
Cgl0626,Q8NSP2,Q8NSP2_CORGL,Geranylgeranyl pyrophosphate synthase,Cgl0626,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599861.2;WP_011013776.1;
Cgl0635,Q8NSN3,Q8NSN3_CORGL,"ABC-type transporter, permease components",Cgl0635,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599869.1;
Cgl0636,Q8NSN2,METN_CORGL,Methionine import ATP-binding protein MetN (EC 7.4.2.11),metN Cgl0636 cg0736,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599870.1;WP_003854632.1;
Cgl0637,Q8NSN1,Q8NSN1_CORGL,"ABC-type transporter, periplasmic component",Cgl0637,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599871.1;WP_011013784.1;
Cgl0638,Q6M7C6,DNAE2_CORGL,Error-prone DNA polymerase (EC 2.7.7.7),dnaE2 Cgl0638 cg0738,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599872.1;WP_011013785.1;
Cgl0644,Q8NSM4,NPD_CORGL,NAD-dependent protein deacylase (EC 2.3.1.286) (Regulatory protein SIR2 homolog),cobB Cgl0644 cg0745,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599877.1;WP_003854640.1;
Cgl0648,Q8NSM0,FOLD_CORGL,Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)],folD Cgl0648 cg0750,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599881.1;WP_003860764.1;
Cgl0652,O68640,METXA_CORGL,Homoserine O-acetyltransferase (HAT) (EC 2.3.1.31) (Homoserine transacetylase) (HTA),metXA metA Cgl0652 cg0754,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599885.1;WP_011013793.1;
Cgl0653,Q79VI4,METY_CORGL,O-acetyl-L-homoserine sulfhydrylase (OAH-sulfhydrylase) (EC 2.5.1.49),metY Cgl0653,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599886.1;WP_003854667.1;
Cgl0657,Q8NSL3,PRPD2_CORGL,2-methylcitrate dehydratase 2 (2-MC dehydratase) (EC 4.2.1.79) (Aconitate hydratase) (ACN) (Aconitase) (EC 4.2.1.3),prpD2 Cgl0657 cg0759,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),WP_011265602.1;
Cgl0658,Q8NSL2,PRPB2_CORGL,"Probable 2-methylisocitrate lyase 2 (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)",prpB2 Cgl0658 cg0760,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599890.2;WP_011265603.1;
Cgl0659,Q8NSL1,PRPC2_CORGL,2-methylcitrate synthase 2 (2-MCS) (MCS) (EC 2.3.3.5) (Citrate synthase 2) (CS) (EC 2.3.3.16),prpC2 Cgl0659 cg0762,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599891.1;WP_011013797.1;
Cgl0664,P50216,IDH_CORGL,Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (Oxalosuccinate decarboxylase),icd Cgl0664 cg0766,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599896.1;WP_011013800.1;
Cgl0666,Q8NSK5,Q8NSK5_CORGL,"ABC-type transporter, ATPase component",Cgl0666,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599898.1;WP_011013802.1;
Cgl0667,Q8NSK4,Q8NSK4_CORGL,"ABC-type transporter, permease components",Cgl0667,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599899.1;
Cgl0668,Q8NSK3,Q8NSK3_CORGL,"ABC-type transporter, permease components",Cgl0668,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599900.1;
Cgl0669,Q8NSK2,Q8NSK2_CORGL,"ABC-type transporter, periplasmic component",Cgl0669,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599901.1;WP_011013805.1;
Cgl0677,Q8NSJ4,SYW_CORGL,Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS),trpS Cgl0677 cg0779,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599909.1;WP_011013808.1;
Cgl0680,Q8NSJ1,Q8NSJ1_CORGL,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4),Cgl0680,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599912.1;
Cgl0684,P58998,UPP_CORGL,Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase),upp Cgl0684 cg0786,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599916.1;WP_003858289.1;
Cgl0687,Q8NSI6,Q8NSI6_CORGL,Phosphomannomutase (EC 5.4.2.8),Cgl0687,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599918.1;
Cgl0686,Q8NSI5,Q8NSI5_CORGL,Metal-dependent amidase/aminoacylase/carboxypeptidase,Cgl0686,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599919.1;WP_011013814.1;
Cgl0689,H7C7K2,H7C7K2_CORGL,Pyruvate carboxylase (EC 6.4.1.1),Cgl0689,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599921.1;WP_011013816.1;
Cgl0694,Q8NSH9,PRPD1_CORGL,2-methylcitrate dehydratase 1 (2-MC dehydratase) (EC 4.2.1.79),prpD1 Cgl0694 cg0796,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599926.1;WP_011013821.1;
Cgl0695,Q8NSH8,PRPB1_CORGL,"Probable 2-methylisocitrate lyase 1 (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)",prpB1 Cgl0695 cg0797,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599927.1;WP_011013822.1;
Cgl0696,Q8NSH7,PRPC1_CORGL,2-methylcitrate synthase 1 (2-MCS) (MCS) (EC 2.3.3.5) (Citrate synthase 1) (CS) (EC 2.3.3.16),prpC1 Cgl0696 cg0798,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599928.1;WP_011013823.1;
Cgl0700,Q79VI2,Q79VI2_CORGL,Acyl coenzyme A carboxylase (EC 6.3.4.14),Cgl0700,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599932.1;WP_011013826.1;
Cgl0701,P71121,THTR_CORGL,Thiosulfate sulfurtransferase (EC 2.8.1.1),thtR Cgl0701 cg0803,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599933.1;WP_011013827.1;
Cgl0705,Q8NSH0,NTPP_CORGL,Nucleoside triphosphate pyrophosphatase (EC 3.6.1.9) (Nucleotide pyrophosphatase) (Nucleotide PPase),Cgl0705 cg0809,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599937.1;WP_011013831.1;
Cgl0707,Q8NSG8,Q8NSG8_CORGL,Detergent sensitivity rescuer dtsR2,Cgl0707,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599939.1;WP_003863615.1;
Cgl0711,Q8NSG4,Q8NSG4_CORGL,N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase),purK Cgl0711,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599943.1;
Cgl0712,Q8NSG3,KUP_CORGL,Probable potassium transport system protein kup,kup Cgl0712 cg0817,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599944.1;
Cgl0714,Q8NSG1,Q8NSG1_CORGL,N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase),purE Cgl0714,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599946.1;WP_003858249.1;
Cgl0719,Q8NSF7,Q8NSF7_CORGL,Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases) (EC 1.1.1.47),Cgl0719,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599951.1;WP_011013843.1;
Cgl0740,Q8NSD6,LCPA_CORGL,Cell wall biosynthesis protein LcpA,lcpA Cgl0740,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599970.1;WP_011013861.1;
Cgl0742,Q8NSD4,Q8NSD4_CORGL,Nucleoside-diphosphate-sugar pyrophosphorylases involved in lipopolysaccharide biosynthesis/translation initiation factor eIF2B subunits (EC 2.7.7.13),Cgl0742,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599972.1;
Cgl0743,Q8NSD3,Q8NSD3_CORGL,Transcriptional regulator WhiB,whiB Cgl0743,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599973.1;
Cgl0744,Q8NSD2,Q8NSD2_CORGL,Uncharacterized protein,Cgl0744,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599974.1;WP_003863577.1;
Cgl0746,Q8NSD0,Q8NSD0_CORGL,Phosphomannomutase (EC 5.4.2.8),Cgl0746,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599976.1;WP_003863574.1;
Cgl0748,Q8NSC8,Q8NSC8_CORGL,Mannose-6-phosphate isomerase (EC 5.3.1.8),Cgl0748,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599978.1;WP_011013865.1;
Cgl0752,Q8NSC4,SAHH_CORGL,Adenosylhomocysteinase (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase),ahcY sahH Cgl0752 cg0860,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599981.1;
Cgl0753,Q8NSC3,Q8NSC3_CORGL,Thymidylate kinase (EC 2.7.4.9) (dTMP kinase),tmk Cgl0753,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599982.1;WP_003858194.1;
Cgl0756,Q8NSC0,LPQB_CORGL,Lipoprotein LpqB,lpqB Cgl0756 cg0865,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599985.1;WP_011013869.1;
Cgl0759,Q8NSB7,Q8NSB7_CORGL,Ribosome hibernation promoting factor (HPF),hpf Cgl0759,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599986.1;WP_003858182.1;
Cgl0760,Q8NSB6,SECA1_CORGL,Protein translocase subunit SecA 1,secA1 Cgl0760 cg0868,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599987.1;WP_011013871.1;
Cgl0761,Q8NSB5,Q8NSB5_CORGL,Uncharacterized protein,Cgl0761,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599989.1;
Cgl0764,Q9Z470,AROA_CORGL,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS),aroA Cgl0764 cg0873,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599992.1;WP_011013873.1;
Cgl0768,Q79VI0,Q79VI0_CORGL,Transcriptional regulator WhiB,whiB Cgl0768,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_599996.1;WP_003858159.1;
Cgl0777,Q8NSA2,Q8NSA2_CORGL,"Kef-type K+ transport systems, predicted NAD-binding component",Cgl0777,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600005.1;
Cgl0778,Q8NSA1,Q8NSA1_CORGL,"NTP pyrophosphohydrolases containing a Zn-finger, probably nucleic-acid-binding",Cgl0778,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600006.1;WP_011013881.1;
Cgl0786,Q8NS93,Y786_CORGL,UPF0182 protein Cgl0786/cg0896,Cgl0786 cg0896,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600014.2;WP_011013886.1;
Cgl0787,Q8NS92,PDXR_CORGL,HTH-type pyridoxine biosynthesis transcriptional regulator PdxR,pdxR Cgl0787 cg0897,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600015.1;WP_011013887.1;
Cgl0788,P82134,PDXS_CORGL,Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1),pdxS Cgl0788 cg0898,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600016.1;
Cgl0789,Q8NS90,PDXT_CORGL,Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2),pdxT Cgl0789 cg0899,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600017.1;WP_011013889.1;
Cgl0799,Q8NS80,HISN_CORGL,Histidinol-phosphatase (HolPase) (EC 3.1.3.15) (Histidinol-phosphate phosphatase),hisN Cgl0799 cg0910,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600028.1;WP_011013898.1;
Cgl0801,Q8NS78,RF2_CORGL,Peptide chain release factor 2 (RF-2),prfB Cgl0801 cg0913,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600030.1;WP_003863507.1;
Cgl0802,Q8NS77,Q8NS77_CORGL,Cell division ATP-binding protein FtsE,ftsE Cgl0802,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600031.1;WP_003858089.1;
Cgl0804,Q8NS75,SSRP_CORGL,SsrA-binding protein (Small protein B),smpB Cgl0804 cg0916,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600033.1;WP_003858084.1;
Cgl0814,Q8NS65,Q8NS65_CORGL,PLP-dependent aminotransferases (EC 2.6.1.7),Cgl0814,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600043.1;
Cgl0819,Q6M6W5,RPF1_CORGL,Resuscitation-promoting factor Rpf1 (EC 3.-.-.-),rpf1 Cgl0819 cg0936,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600048.1;WP_003862355.1;
Cgl0824,Q8NS55,Q8NS55_CORGL,Permeases,Cgl0824,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600053.1;
Cgl0828,Q8NS51,Q8NS51_CORGL,Phosphoserine transaminase (EC 2.6.1.52),Cgl0828,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600057.1;WP_011013913.1;
Cgl0829,P42457,CISY_CORGL,Citrate synthase (EC 2.3.3.16),gltA Cgl0829 cg0949,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600058.1;WP_011013914.1;
Cgl0830,P42458,FKBP_CORGL,Probable FK506-binding protein (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase),Cgl0830 cg0950,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600059.1;WP_003858324.1;
Cgl0831,H7C6C3,H7C6C3_CORGL,Acetyl-CoA carboxylase beta subunit (EC 6.4.1.2),Cgl0831,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600060.1;
Cgl0833,Q8NS49,MCTC_CORGL,Monocarboxylic acid transporter,mctC Cgl0833,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600062.1;WP_011013917.1;
Cgl0839,Q8NS43,Q8NS43_CORGL,Homoserine acetyltransferase (EC 2.3.1.31),Cgl0839,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600068.1;WP_003862382.1;
Cgl0842,P0DKS9,MRX1_CORGL,Mycoredoxin 1 (EC 1.20.4.3),mrx1 cg0964 Cgl0842,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600071.1;WP_011013923.1;
Cgl0843,Q8NS39,Q8NS39_CORGL,Dihydrofolate reductase (EC 1.5.1.3),Cgl0843,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600072.1;WP_011013924.1;
Cgl0844,Q8NS38,TYSY_CORGL,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45),thyA Cgl0844 cg0966,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600073.1;WP_003862391.1;
Cgl0845,Q8NS37,Q8NS37_CORGL,3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase,Cgl0845,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600074.1;WP_003862394.1;
Cgl0851,Q8NS31,G6PI_CORGL,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI),pgi Cgl0851 cg0973,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600080.1;WP_011013928.1;
Cgl0853,Q8NS29,Q8NS29_CORGL,Chorismate mutase,Cgl0853,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600082.1;
Cgl0860,Q8NS22,Q8NS22_CORGL,Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART),purN Cgl0860,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600089.1;
Cgl0861,Q8NS21,PUR9_CORGL,Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)],purH Cgl0861 cg0984,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600090.1;WP_011013935.1;
Cgl0862,Q8NS20,Q8NS20_CORGL,Citrate lyase beta subunit (EC 4.1.3.6),Cgl0862,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600091.1;WP_011013936.1;
Cgl0863,Q79VH8,Q79VH8_CORGL,Repressor of the high-affinity (Methyl) ammonium uptake system,Cgl0863,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600092.1;WP_011013937.1;
Cgl0866,P66455,RS18_CORGL,30S ribosomal protein S18,rpsR Cgl0866 cg0988,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600094.1;WP_003858407.1;
Cgl0867,Q8NS17,RS14_CORGL,30S ribosomal protein S14,rpsN Cgl0867 cg0989,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600095.1;WP_011013938.1;
Cgl0868,Q8NS16,RL33_CORGL,50S ribosomal protein L33,rpmG Cgl0868 cg0990,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600096.1;WP_003858439.1;
Cgl0869,Q8NS15,RL28_CORGL,50S ribosomal protein L28,rpmB Cgl0869 cg0991,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),NP_600097.1;WP_003858441.1;
