NCgl_ID,Cgl_ID,ID,Name,Synonyms,Protein,Strains,Function,Length
NCgl0650,Cgl0680,cg0782,dac,,D-alanyl-D-alanine carboxypeptidase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,379
NCgl0654,Cgl0684,cg0786,upp,,Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,211
,Cgl0687,cg0788,pmmB,,Phosphomannomutase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,575
,Cgl0686,cg0789,amiA,,Metal-dependent amidase/aminoacylase/carboxypeptidase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,394
,Cgl0689,cg0791,pyc,,Pyruvate carboxylase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),Catalyzes a 2-step reaction,
NCgl0664,Cgl0694,cg0796,prpD1,,2-methylcitrate dehydratase 1 (2-MC dehydratase) (EC 4.2.1.79),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,498
NCgl0665,Cgl0695,cg0797,prpB1,,Probable 2-methylisocitrate lyase 1 (2-MIC) (MICL) (EC 4.1.3.30) ((2R,,,
NCgl0666,Cgl0696,cg0798,prpC1,,2-methylcitrate synthase 1 (2-MCS) (MCS) (EC 2.3.3.5) (Citrate synthase 1) (CS) (EC 2.3.3.16),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,381
NCgl0670,Cgl0700,cg0802,accBC,,Acyl coenzyme A carboxylase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,591
NCgl0671,Cgl0701,cg0803,thtR,,Thiosulfate sulfurtransferase (EC 2.8.1.1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,301
NCgl0675,Cgl0705,cg0809,maf,,Nucleoside triphosphate pyrophosphatase (EC 3.6.1.9) (Nucleotide pyrophosphatase) (Nucleotide PPase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,197
,Cgl0707,cg0811,dtsR2,,Detergent sensitivity rescuer dtsR2,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,537
NCgl0681,Cgl0711,cg0816,purK,,N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,387
NCgl0682,Cgl0712,cg0817,kup,,Probable potassium transport system protein kup,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,624
,Cgl0714,cg0820,purE,,N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,165
,Cgl0719,cg0825,fabG,,Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases) (EC 1.1.1.47),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,263
,Cgl0740,cg0847,lcpA,,Cell wall biosynthesis protein LcpA,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,518
,Cgl0742,cg0849,rmlA2,,Nucleoside-diphosphate-sugar pyrophosphorylases involved in lipopolysaccharide biosynthesis/translation initiation factor eIF2B subunits (EC 2.7.7.13),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,348
,Cgl0743,cg0850,whiB2,,Transcriptional regulator WhiB,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,136
,Cgl0744,cg0852,,,Uncharacterized protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,152
,Cgl0746,cg0854,pmmA,manB,Phosphomannomutase (EC 5.4.2.8),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,458
,Cgl0748,cg0856,manA,,Phosphomannose isomerase (EC 5.3.1.8),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,394
NCgl0719,Cgl0752,cg0860,sahH,ahcY,Adenosylhomocysteinase (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,474
NCgl0720,Cgl0753,cg0861,tmk,,Thymidylate kinase (EC 2.7.4.9) (dTMP kinase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,203
NCgl0723,Cgl0756,cg0865,lpqB,,Lipoprotein LpqB,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,568
NCgl0725,Cgl0759,cg0867,hpf,,Ribosome hibernation promoting factor (HPF),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,221
NCgl0726,Cgl0760,cg0868,secA,azi,,,,
,Cgl0761,cg0870,,,Uncharacterized protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,224
NCgl0730,Cgl0764,cg0873,aroA,,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,430
,Cgl0768,cg0878,whiB1,,Transcriptional regulator WhiB,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,86
,Cgl0777,cg0887,,,Kef-type K+ transport systems,,,
,Cgl0778,cg0888,,,NTP pyrophosphohydrolases containing a Zn-finger,,,
NCgl0752,Cgl0786,cg0896,,,UPF0182 protein Cgl0786/cg0896,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,985
NCgl0753,Cgl0787,cg0897,pdxR,,HTH-type pyridoxine biosynthesis transcriptional regulator PdxR,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,453
NCgl0754,Cgl0788,cg0898,pdxS,,Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,317
NCgl0755,Cgl0789,cg0899,pdxT,,Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,200
NCgl0765,Cgl0799,cg0910,hisN,,Histidinol-phosphatase (HolPase) (EC 3.1.3.15) (Histidinol-phosphate phosphatase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,260
NCgl0767,Cgl0801,cg0913,prfB,,Peptide chain release factor 2 (RF-2),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,368
NCgl0768,Cgl0802,cg0914,ftsE,,Cell division ATP-binding protein FtsE,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,229
NCgl0770,Cgl0804,cg0916,smpB,,SsrA-binding protein (Small protein B),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,164
,Cgl0814,cg0931,dapC,,PLP-dependent aminotransferases (EC 2.6.1.7),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,403
NCgl0785,Cgl0819,cg0936,rpf1,,Resuscitation-promoting factor Rpf1 (EC 3.-.-.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,193
,Cgl0824,cg0944,,,Permeases,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,491
NCgl0794,Cgl0828,cg0948,serC,,Phosphoserine transaminase (EC 2.6.1.52),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,376
NCgl0795,Cgl0829,cg0949,gltA,,Citrate synthase (EC 2.3.3.16),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,437
NCgl0796,Cgl0830,cg0950,fkpA,,Probable FK506-binding protein (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,118
NCgl0797,Cgl0831,cg0951,accDA,,Acetyl-CoA carboxylase beta subunit (EC 6.4.1.2),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,491
,Cgl0833,cg0953,mctC,,Monocarboxylic acid transporter,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,551
,Cgl0839,cg0961,,,Homoserine acetyltransferase (EC 2.3.1.31),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,349
NCgl0808,Cgl0842,cg0964,mrx1,,Mycoredoxin 1 (EC 1.20.4.3),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,79
NCgl0809,Cgl0843,cg0965,folA,,Dihydrofolate reductase (EC 1.5.1.3),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,152
NCgl0810,Cgl0844,cg0966,thyA,,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,266
NCgl0811,Cgl0845,cg0967,cysQ,,3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,252
NCgl0817,Cgl0851,cg0973,pgi,,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,540
,Cgl0853,cg0975,csm,,Chorismate mutase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,103
NCgl0826,Cgl0860,cg0983,purN,,Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,209
NCgl0827,Cgl0861,cg0984,purH,,Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)],Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,520
NCgl0828,Cgl0862,cg0985,citE,,Citrate lyase beta subunit (EC 4.1.3.6),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,273
NCgl0829,Cgl0863,cg0986,amtR,,Repressor of the high-affinity (Methyl) ammonium uptake system,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,222
NCgl0831,Cgl0866,cg0988,rpsR,,30S ribosomal protein S18,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,83
NCgl0832,Cgl0867,cg0989,rpsN,,30S ribosomal protein S14,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,101
NCgl0833,Cgl0868,cg0990,rpmG,,50S ribosomal protein L33,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,54
NCgl0834,Cgl0869,cg0991,rpmB,,50S ribosomal protein L28,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,78
NCgl0837,Cgl0872,cg0994,rpmE,rpmE2,50S ribosomal protein L31 type B,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,88
NCgl0838,Cgl0873,cg0995,rpmF,,50S ribosomal protein L32,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,57
,Cgl0876,cg0998,,,Trypsin-like serine proteases,,,
,Cgl0879,cg1001,mscL,,Large-conductance mechanosensitive channel,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,135
,Cgl0881,cg1003,,,5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,190
,Cgl0882,cg1004,galU1,,UDP-glucose pyrophosphorylase (EC 2.7.7.9),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,299
,Cgl0883,cg1005,moeA2,,Molybdopterin molybdenumtransferase (EC 2.10.1.1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,419
NCgl0854,Cgl0890,cg1014,pmt,,Probable dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,520
NCgl0855,Cgl0891,cg1015,rsmI,,Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,275
NCgl0856,Cgl0892,cg1016,betP,,Glycine betaine transporter BetP (Glycine betaine permease),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,595
NCgl0857,Cgl0893,cg1017,metS,metG,Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,610
,Cgl0901,cg1027,dld,,Quinone-dependent D-lactate dehydrogenase (EC 1.1.5.12) (D-lactate dehydrogenase) (D-LDH),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,571
,Cgl0904,cg1030,tnp6c,,Putative transposase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,98
,Cgl0905,cg1031,tnp6d,,Putative transposase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,159
NCgl0872,Cgl0909,cg1037,rpf2,,Resuscitation-promoting factor Rpf2 (EC 3.-.-.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,374
NCgl0873,Cgl0910,cg1038,ksgA,rsmA,Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N',,,
NCgl0874,Cgl0911,cg1039,ispE,,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,311
,Cgl0913,cg1041,pdxK,,Pyridoxal kinase (EC 2.7.1.35),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,264
,Cgl0917,cg1046,pvdS1,pkk2A,Probable polyphosphate kinase PKK2A (EC 2.7.4.1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,320
,Cgl0918,cg1048,,,Predicted hydrolases of the HAD superfamily,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,264
,Cgl0919,cg1049,,,Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,339
,Cgl0922,cg1052,cmt3,,Uncharacterized protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,462
NCgl0888,Cgl0925,cg1055,menG,,Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase (HMG aldolase) (EC 4.1.3.17) (Oxaloacetate decarboxylase) (OAA decarboxylase) (EC 4.1.1.112) (Regulator of ribonuclease activity homolog) (RraA-like protein),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,166
NCgl0892,Cgl0929,cg1060,prfC,,Peptide chain release factor 3 (RF-3),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,549
NCgl0893,Cgl0930,cg1061,,,ABC-type transporter,,,
NCgl0894,Cgl0931,cg1062,,,ABC-type transporter,,,
NCgl0895,Cgl0932,cg1064,,,ABC-type transporter,,,
NCgl0896,Cgl0933,cg1065,,,ABC-type transporter,,,
NCgl0897,Cgl0934,cg1066,,,ABC-type transporter,,,
NCgl0898,Cgl0935,cg1067,pth2,,Peptidyl-tRNA hydrolase 2 (PTH 2) (EC 3.1.1.29),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,204
,Cgl0937,cg1069,gapX,,Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase (EC 1.2.1.12),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,355
NCgl0901,Cgl0938,cg1071,pth1,,Peptidyl-tRNA hydrolase 1 (PTH 1) (EC 3.1.1.29),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,177
NCgl0902,Cgl0939,cg1072,rplY,ctc,50S ribosomal protein L25 (General stress protein CTC),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,200
NCgl0903,Cgl0940,cg1073,,,Predicted lactoylglutathione lyase (EC 4.4.1.5),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,143
NCgl0905,Cgl0942,cg1075,prsA,prs,Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,325
NCgl0906,Cgl0943,cg1076,glmU,,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)],Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,485
,Cgl0952,cg1088,,,ABC-type multidrug/protein/lipid transport system,,,
,Cgl0953,cg1089,,,ABC-type transporter,,,
,Cgl0954,cg1090,ggtB,,Gamma-glutamyltranspeptidase (EC 2.3.2.2),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,655
,Cgl0963,cg1099,mfd,,Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,1209
NCgl0927,Cgl0966,cg1103,,,Uncharacterized protein Cgl0966/cg1103,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,794
NCgl0928,Cgl0967,cg1104,,,Uncharacterized protein Cgl0967/cg1104 (ORF2),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,426
NCgl0929,Cgl0968,cg1105,lysI,,L-lysine transport protein (L-lysine permease),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,501
,Cgl0971,cg1108,porC,,Uncharacterized protein,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,142
,Cgl0972,cg1109,porB,,PorB,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,126
NCgl0935,Cgl0974,cg1111,eno,,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,425
,Cgl0977,cg1115,ppx2,,Exopolyphosphatase (EC 3.6.1.11) (EC 3.6.1.40),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,321
,Cgl0978,cg1116,tdcB,,Threonine dehydratase (EC 4.3.1.19),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,310
NCgl0943,Cgl0982,cg1120,ripA,,HTH-type transcriptional regulator RipA (AraC-type regulator RipA) (Repressor of iron proteins A) (RIPA),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,331
,Cgl0986,cg1123,greA,,Transcription elongation factor GreA (Transcript cleavage factor GreA),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,174
,Cgl0988,cg1127,mca,,Mycothiol S-conjugate amidase (EC 3.5.1.115),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,291
NCgl0950,Cgl0990,cg1129,aroF,aroG,Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,366
NCgl0951,Cgl0991,cg1130,uppS1,,Isoprenyl transferase 1 (EC 2.5.1.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,225
NCgl0953,Cgl0995,cg1132,coaA,,Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,312
NCgl0954,Cgl0996,cg1133,glyA,,Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,434
NCgl0955,Cgl0997,cg1134,pabAB,,Anthranilate/para-aminobenzoate synthases component I (EC 4.1.3.-),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,620
,Cgl1002,cg1139,,,Allophanate hydrolase subunit 2,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,293
,Cgl1003,cg1140,,,Allophanate hydrolase subunit 1,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,223
NCgl0962,Cgl1004,cg1141,pxpA,,5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,252
NCgl0967,Cgl1010,cg1145,fum,fumC,Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,473
,Cgl1019,cg1157,glpX,fbp,Fructose-1,,,
,Cgl1023,cg1160,,,Arabinose efflux permease,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,75
,Cgl1024,cg1162,xseB,,Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,81
NCgl0981,Cgl1025,cg1163,xseA,,Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit),Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / LMG 3730 / NCIMB 10025),,417
